lat,lon
50.23,11.08
50.26,11.14
50.27,11.38
50.24,11.49
50.20,11.14
52.45,10.53
52.46,11.15
52.44,11.43
52.45,11.59
52.40,12.11
52.31,11.08
52.25,11.58
52.31,11.51
52.25,11.05
52.22,11.28
52.18,11.40
52.19,11.50
52.13,12.10
51.16,12.03
52.01,11.25
52.12,11.25
52.08,11.47
52.00,10.38
51.53,11.28
51.58,11.55
51.49,11.43
52.01,12.10
51.56,12.23
51.41,12.18
51.55,12.53
51.46,10.39
51.48,11.08
51.44,11.31
51.45,12.01
51.46,12.31
51.32,11.03
51.33,11.24
51.23,11.32
51.32,11.41
51.14,11.35
51.14,11.50
51.06,11.43
51.04,12.08
51.34,14.42
51.31,12.26
51.31,12.55
51.20,14.50
51.14,12.33
51.24,14.34
51.19,12.10
51.16,13.22
51.22,13.35
51.19,14.03
51.10,12.16
51.11,12.46
51.08,13.26
51.10,14.30
51.01,13.46
51.01,13.51
51.12,14.01
51.04,14.26
51.02,14.56
51.05,12.56
51.03,13.18
51.01,13.28
50.59,13.59
51.04,14.37
50.54,14.45
50.53,13.02
50.55,13.43
50.49,12.18
50.48,12.38
50.50,14.04
50.41,12.26
50.37,13.29
50.35,13.18
50.35,12.43
50.33,12.17
50.33,12.34
50.37,12.56
50.31,12.50
50.23,12.00
50.22,12.29
50.16,12.16
50.18,12.23
50.16,9.46
50.21,10.00
50.27,10.13
50.18,10.11
50.11,10.16
50.20,10.27
50.17,10.27
50.14,10.34
50.20,10.47
50.08,10.43
50.22,10.53
50.19,11.07
50.08,10.56
50.31,11.22
50.15,11.19
50.08,11.14
50.24,11.23
50.22,11.37
50.07,11.34
50.14,11.42
50.09,11.44
50.13,12.02
50.12,12.08
50.10,12.02
50.04,8.59
50.04,9.21
49.55,9.05
50.01,9.39
50.07,9.44
50.07,9.55
49.58,9.55
50.04,10.18
49.55,10.14
50.05,10.29
49.55,10.36
49.51,10.30
50.04,10.49
49.58,11.01
49.59,11.24
50.01,11.12
49.53,11.16
50.14,11.33
49.58,11.31
49.50,11.37
49.59,11.50
49.56,12.05
49.52,11.53
49.47,12.02
50.05,12.13
49.55,12.32
49.52,12.21
49.39,9.16
49.47,9.28
49.44,9.46
49.37,9.53
49.44,10.11
49.48,10.13
49.40,10.23
49.34,10.11
49.44,10.38
49.34,10.44
49.48,11.00
49.39,11.01
49.46,11.19
49.40,11.13
49.30,11.16
49.39,11.28
49.44,11.34
49.49,11.52
49.34,11.53
49.49,12.20
49.44,12.21
49.37,12.29
49.32,12.34
49.32,10.09
49.27,10.20
49.23,10.10
49.23,10.22
48.19,10.23
49.31,10.25
49.20,10.37
49.14,10.30
49.13,10.37
49.31,10.47
49.19,10.55
49.26,11.15
49.20,11.07
49.11,11.22
49.29,11.32
49.17,11.27
49.35,11.42
49.28,11.51
49.46,9.15
49.22,11.41
49.17,11.55
49.27,12.11
49.25,12.05
49.20,12.05
49.32,12.17
49.27,12.26
49.25,12.17
49.22,12.27
49.14,12.25
49.13,12.32
49.24,12.37
49.16,12.45
49.16,12.58
49.03,10.17
49.10,10.35
49.11,10.49
49.02,10.36
48.56,10.46
49.07,10.58
49.13,11.11
49.05,11.13
49.07,11.26
49.09,11.41
49.06,11.48
48.58,11.44
48.55,11.51
49.13,12.05
49.10,12.17
48.54,12.13
49.10,12.37
49.04,12.38
49.02,12.33
48.56,12.28
49.07,12.49
49.00,12.49
49.13,13.04
49.02,13.20
49.02,12.59
48.50,10.31
50.11,9.34
48.43,10.38
48.49,10.56
48.53,11.14
48.50,11.29
48.46,11.27
49.32,10.38
48.46,11.50
48.42,11.51
48.39,11.35
48.52,12.02
48.47,12.11
48.40,12.05
48.41,12.37
48.53,12.45
48.51,12.55
