"lat","lon","name"
50.25,9.57,"DE|HE|DA"
50.05,7.08,"DE|RP|Bernkastel-Wittlich"
47.58,8.41,"DE|BW|Freiburg"
47.58,8.16,"CH|AG|Laufenburg District"
54.26,5.42,""
54.28,11.1,"DE|SH|Ostholstein"
51.46,12.31,"DE|SN|Nordsachsen"
37.14,67.16,"AF|Balkh|Shortepa"
49.51,8.09,"DE|RP|Landkreis Bad Dürkheim"
47.38,11.31,"AT|Tyrol|Tirol"
35.46,140.23,"JP|Chiba|Chōsei District"
49.08,7.19,"FR|Grand Est|Moselle"
48.26,12.59,"DE|BY|Upper Bavaria"
48.26,12.34,"DE|BY|Oberbayern"
48.53,13.35,"DE|BY|Lower Bavaria"
49.21,9.06,"DE|BW|Süd"
49.21,8.56,"DE|BW|KA"
51.18,12.35,"DE|SN|Leipzig"
53.35,6.4,"NL|GR|Het Hogeland"
48.46,15.56,"AT|Niederösterreich|Lower Austria"
52.08,7.19,"DE|NRW|MS"
49.43,12.1,"DE|BY|Upper Palatinate"
48.23,12.05,"DE|BY|Upper Bavaria"
42.26,14.12,"IT|Abruzzo|CH"
41.25,48.53,"AZ|Quba|Şuduq"
51.1,14.3,"DE|SN|BZ"
45.4,9.42,"IT|Lombardia|Lombardy"
51.1,9.3,"DE|HE|KS"
35.25,8.07,"DZ|Wilaya de Tébessa|Tébessa Province"
49.12,8.24,"DE|RP|GER"
50.37,10.49,"DE|TH|BY"
52.48,8.3,"DE|NDS|OS"
56.33,9.1,"DK|Central Denmark Region|Viborg Municipality"
35.01,135.44,"JP|Kyoto|Kameoka"
46.02,12.36,"IT|Veneto|TV"
49.49,8.49,"DE|BW|KA"
55,6.27,""
47.52,10.36,"DE|BY|Schwaben"
53.5,10.29,"DE|SH|Herzogtum Lauenburg"
53.42,8.38,"DE|NDS|Wesermarsch"
50.55,12.13,"DE|SN|V"
52,7.27,"DE|NRW|MS"
51.05,6.19,"DE|NRW|K"
49.3,12.38,"DE|BY|Oberpfalz"
51.05,7.19,"DE|NRW|K"
49.3,8.13,"DE|RP|Südliche Weinstraße"
40.42,72.54,"KG|Osh Region|Aravan District"
25.4,32.42,"EG|New Valley Governorate|Al Wadi Al Gadid Desert"
48.44,13.16,"DE|BY|Lower Bavaria"
47.46,10.28,"DE|BY|Swabia"
50.5,11.04,"DE|TH|SON"
50.02,8.14,"DE|RP|DA"
50.5,14.04,"CZ|Ústí nad Labem Region|Ústecký kraj"
65.31,8.35,""
50.19,12.16,"DE|BY|Upper Franconia"
54.3,11.13,"DE|SH|Ostholstein"
49.02,13.14,"DE|BY|Niederbayern"
47.51,11.09,"DE|BY|Oberbayern"
57.6,56.2,"RU|Permskiy kray|Perm Krai"
56.54,13.24,"SE|Hallands län|Halland County"
52.55,8.13,"DE|NDS|VEC"
38.27,43.19,"TR|Van|Gevaş"
46,8.54,"IT|Piemonte|Piedmont"
49.13,9.31,"DE|BW|Süd"
49.13,11.06,"DE|BY|Mittelfranken"
51.08,7.05,"DE|NRW|K"
48.48,9.02,"DE|BW|TÜ"
48.48,8.27,"DE|BW|Freiburg"
47.05,12.41,"AT|Tyrol|Tirol"
40.3,81.03,"CN|Xinjiang|Aksu Prefecture"
15.17,38.55,"ER|Southern|Areza"
50.1,12.02,"DE|BY|Oberfranken"
51.35,9.02,"DE|HE|KS"
54.08,10.35,"DE|SH|Segeberg"
54.13,9.06,"DE|SH|Dithmarschen"
6.21,2.23,""
49.37,20.42,"SK|Prešovský kraj|Prešov Region"
49.54,9.24,"DE|BW|KA"
38.19,23.32,"GR|Decentralized Administration of Attica|Attica"
54.19,8.38,"DE"
49.44,10.38,"DE|BY|Mittelfranken"
48.04,37.46,"UA|Donets'ka oblast|Donetsk Oblast"
4,9.44,"CM|Littoral|Région du Littoral"
41.31,8.15,""
51.55,10.1,"DE|NDS|GÖ"
51.55,12.1,"DE|SA|Saalekreis"
50.3,8.1,"DE|RP|Rhein-Lahn-Kreis"
47.24,10.18,"AT|Vorarlberg|Bludenz"
47.44,12.41,"AT|Tyrol|Tirol"
39.3,46.02,"AM|Syunik Province|Nor Astghaberd"
1.29,110.2,"MY|Sarawak|Bahagian Kuching"
49.32,6.53,"FR|Grand Est|Moselle"
49.32,7.53,"DE|RP|Südwestpfalz"
47,15.26,"AT|Styria|Steiermark"
50.57,13.56,"CZ|Ústecký kraj|Ústí nad Labem Region"
56.29,10.46,"DK|Central Denmark Region|Syddjurs Municipality"
50.57,12.31,"DE|SN|V"
50.57,9.06,"DE|HE|GI"
51.07,7.53,"DE|NRW|K"
49.2,12.07,"DE|BY|Oberpfalz"
49.2,11.07,"DE|BY|Mittelfranken"
49.52,6.43,"DE|SL|Merzig-Wadern"
50.45,7.16,"DE|RP|Landkreis Ahrweiler"
48.38,8.03,"DE|BW|Freiburg"
36.34,128.43,"KR|Gyeongsangbuk-do|Uiseong-gun"
51.53,0.14,"GB|England|Greater London"
38.2,26.08,"GR|Chios|Nekta"
52.13,7.39,"DE|NRW|MS"
49.29,9.46,"DE|BW|Süd"
50.04,9.21,"DE|BY|Lower Franconia"
32,34.54,""
53.22,8.24,"DE|NDS|Ammerland"
54.44,8.35,"DE"
17.15,54.05,"OM|Dhofar Governorate|Jahaneen"
47.09,11.2,"AT|Tirol|Tyrol"
